trial,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_mean_token_accuracy,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
sft2,1.6539773559570312,0.5079865455627441,0.0001369930647605852,1.6753453040122985,521658.0,0.6240337240695953,0.8,200,,,,,,,,,,,,
sft2,1.621221923828125,0.5040385127067566,0.0001215297638657875,1.6314792943000793,586613.0,0.6323142504692078,0.9,225,,,,,,,,,,,,
sft2,1.691513671875,0.38709011673927307,0.00010550310262789649,1.6955747961997987,651598.0,0.6232569098472596,1.0,250,,,,,,,,,,,,
sft2,,,,,,,1.0,250,1.6302798986434937,27.3339,10.975,1.39,1.6679350200452303,651598.0,0.6280565026559328,,,,,
sft2,1.5411895751953124,0.47607421875,8.933244400090937e-05,1.5684264492988587,715124.0,0.6449537765979767,1.1,275,,,,,,,,,,,,
sft2,1.6252394104003907,0.45918822288513184,7.344091885838948e-05,1.6520984387397766,782100.0,0.6307924962043763,1.2,300,,,,,,,,,,,,
sft2,1.5628852844238281,0.44037339091300964,5.82443541045415e-05,1.5815817999839783,845648.0,0.6447898674011231,1.3,325,,,,,,,,,,,,
sft2,1.628057403564453,0.44082310795783997,4.414039190520308e-05,1.6632695317268371,909176.0,0.6319279098510742,1.4,350,,,,,,,,,,,,
sft2,1.6178207397460938,0.5605399012565613,3.149808475129452e-05,1.614953980445862,974056.0,0.6351138472557067,1.5,375,,,,,,,,,,,,
sft2,1.5745664978027343,0.47436749935150146,2.0648238616356332e-05,1.596736695766449,1037646.0,0.6398724091053009,1.6,400,,,,,,,,,,,,
sft2,1.5898397827148438,0.47731438279151917,1.1874756894740135e-05,1.6150180757045747,1104789.0,0.634703723192215,1.7,425,,,,,,,,,,,,
sft2,1.5629541015625,0.4667496085166931,5.407211620009544e-06,1.5789097619056702,1171679.0,0.6387276387214661,1.8,450,,,,,,,,,,,,
